20240228143220, 88:9C:AD:E0:D1:4D, SIT-POLY, 65
20240228143220, 88:9C:AD:70:53:6D, SIT-POLY, 64
20240228143220, 88:9C:AD:E1:1D:4D, SIT-POLY, 64
20240228143220, 88:9C:AD:E0:30:2D, SIT-POLY, 59
20240228143220, 88:9C:AD:70:34:CD, SIT-POLY, 49
20240228143220, 88:9C:AD:E0:88:CD, SIT-POLY, 45
20240228143220, 88:9C:AD:77:CA:2D, SIT-POLY, 37
20240228150110, 88:9C:AD:72:B7:8D, SIT-POLY, 89
20240228150110, 88:9C:AD:E1:1D:4D, SIT-POLY, 67
20240228150110, 88:9C:AD:E0:30:2D, SIT-POLY, 65
20240228150110, 88:9C:AD:E0:88:CD, SIT-POLY, 57
20240228150110, 88:9C:AD:E0:D1:4D, SIT-POLY, 54
20240228150110, 88:9C:AD:70:53:6D, SIT-POLY, 52
20240228150110, 88:9C:AD:E1:5E:4D, SIT-POLY, 52
20240228150110, 88:9C:AD:77:CA:2D, SIT-POLY, 35
20240228150110, 88:9C:AD:E1:20:2D, SIT-POLY, 30
20240228153111, 88:9C:AD:72:B7:8D, SIT-POLY, 82
20240228153111, 88:9C:AD:E1:1D:4D, SIT-POLY, 69
20240228153111, 88:9C:AD:E0:30:2D, SIT-POLY, 62
20240228153111, 88:9C:AD:70:53:6D, SIT-POLY, 60
20240228153111, 88:9C:AD:E1:5E:4D, SIT-POLY, 60
20240228153111, 88:9C:AD:E0:D1:4D, SIT-POLY, 60
20240228153111, 88:9C:AD:70:34:CD, SIT-POLY, 52
20240228153111, 88:9C:AD:71:51:8D, SIT-POLY, 44
20240228153111, 88:9C:AD:6F:C4:ED, SIT-POLY, 39
20240228153111, 88:9C:AD:77:CA:2D, SIT-POLY, 39
20240228153111, 88:9C:AD:E1:20:2D, SIT-POLY, 34
20240228153111, 88:9C:AD:77:05:AD, SIT-POLY, 32
20240228153414, 88:9C:AD:72:B7:8D, SIT-POLY, 80
20240228153414, 88:9C:AD:71:51:8D, SIT-POLY, 70
20240228153414, 88:9C:AD:E1:1D:4D, SIT-POLY, 69
20240228153414, 88:9C:AD:E1:5E:4D, SIT-POLY, 65
20240228153414, 88:9C:AD:6F:C4:ED, SIT-POLY, 64
20240228153414, 88:9C:AD:71:16:4D, SIT-POLY, 62
20240228153414, 88:9C:AD:70:53:6D, SIT-POLY, 59
20240228153414, 88:9C:AD:E0:30:2D, SIT-POLY, 59
20240228153414, 88:9C:AD:E0:D1:4D, SIT-POLY, 57
20240228153414, 88:9C:AD:E0:88:CD, SIT-POLY, 50
20240228153414, 88:9C:AD:70:34:CD, SIT-POLY, 50
